"Row","Index","Value"
"62","1",""
"62","2",""
"62","3",""
"62","4","G1"
"62","5",""
"62","6",""
"62","7",""
"62","8",""
"62","9",""
"62","10",""
"62","11",""
"62","12",""
"62","13",""
"62","14",""
"62","15",""
"62","16",""
"62","17",""
"62","18","CNTR_List_ExistGoodTypes"
"62","19","n.a."
"62","20",""
"62","21",""
"62","22","G1"
"62","23",""
"62","24",""
"62","25",""
"62","26",""
"62","27",""
"62","28",""
"62","29",""
"62","30",""
"62","31",""
"62","32",""
"62","33","n.a."
"62","34",""
"62","35","0"
