"Row","Index","Value"
"82","1",""
"82","2",""
"82","3",""
"82","4",""
"82","5",""
"82","6","1"
"82","7","2"
"82","8","3"
"82","9","4"
"82","10","5"
"82","11","6"
"82","12",""
"82","13",""
"82","14",""
"82","15",""
"82","16",""
"82","17",""
"82","18",""
"82","19","CNTR_List_ExistProdProc"
"82","20","CNTR_List_ExistProdProcNames"
"82","21",""
"82","22",""
"82","23","GoodID"
"82","24","PrecID 1"
"82","25","PrecID 2"
"82","26","PrecID 3"
"82","27","PrecID 4"
"82","28","PrecID 5"
"82","29","PrecID 6"
"82","30","ProdRoute"
"82","31",""
"82","32",""
"82","33",""
"82","34",""
"82","35",""
