"SheetName","CellAddress","Type","AlertStyle","Operator","Formula1","Formula2","ErrorMessage"
"C_Emissions&Energy","F7",,,,,,
"C_Emissions&Energy","G7",,,,,,
"C_Emissions&Energy","H7",,,,,,
"C_Emissions&Energy","I7",,,,,,
"C_Emissions&Energy","J7",,,,,,
"C_Emissions&Energy","K7",,,,,,
"C_Emissions&Energy","L7",,,,,,
"C_Emissions&Energy","M7",,,,,,
"C_Emissions&Energy","N7",,,,,,
"C_Emissions&Energy","O7",,,,,,
"C_Emissions&Energy","P7",,,,,,
"C_Emissions&Energy","Q7",,,,,,
"C_Emissions&Energy","R7",,,,,,
"C_Emissions&Energy","S7",,,,,,
"C_Emissions&Energy","T7",,,,,,
"C_Emissions&Energy","U7",,,,,,
"C_Emissions&Energy","V7",,,,,,
"C_Emissions&Energy","W7",,,,,,
"C_Emissions&Energy","X7",,,,,,
"C_Emissions&Energy","A8",,,,,,
"C_Emissions&Energy","B8",,,,,,
"C_Emissions&Energy","C8",,,,,,
"C_Emissions&Energy","D8",,,,,,
"C_Emissions&Energy","E8",,,,,,
"C_Emissions&Energy","F8",,,,,,
"C_Emissions&Energy","G8",,,,,,
"C_Emissions&Energy","H8",,,,,,
"C_Emissions&Energy","I8",,,,,,
"C_Emissions&Energy","J8",,,,,,
"C_Emissions&Energy","K8",,,,,,
"C_Emissions&Energy","L8",,,,,,
"C_Emissions&Energy","M8",,,,,,
"C_Emissions&Energy","N8",,,,,,
"C_Emissions&Energy","O8",,,,,,
"C_Emissions&Energy","P8",,,,,,
"C_Emissions&Energy","Q8",,,,,,
"C_Emissions&Energy","R8",,,,,,
"C_Emissions&Energy","S8",,,,,,
"C_Emissions&Energy","T8",,,,,,
"C_Emissions&Energy","U8",,,,,,
"C_Emissions&Energy","V8",,,,,,
"C_Emissions&Energy","W8",,,,,,
"C_Emissions&Energy","X8",,,,,,
"C_Emissions&Energy","A9",,,,,,
"C_Emissions&Energy","B9",,,,,,
"C_Emissions&Energy","C9",,,,,,
"C_Emissions&Energy","D9",,,,,,
"C_Emissions&Energy","E9",,,,,,
"C_Emissions&Energy","F9",,,,,,
"C_Emissions&Energy","G9",,,,,,
"C_Emissions&Energy","H9",,,,,,
"C_Emissions&Energy","I9",,,,,,
"C_Emissions&Energy","J9",,,,,,
"C_Emissions&Energy","K9",,,,,,
"C_Emissions&Energy","L9",,,,,,
"C_Emissions&Energy","M9",,,,,,
"C_Emissions&Energy","N9",,,,,,
"C_Emissions&Energy","O9",,,,,,
"C_Emissions&Energy","P9",,,,,,
"C_Emissions&Energy","Q9",,,,,,
"C_Emissions&Energy","R9",,,,,,
"C_Emissions&Energy","S9",,,,,,
"C_Emissions&Energy","T9",,,,,,
"C_Emissions&Energy","U9",,,,,,
"C_Emissions&Energy","V9",,,,,,
"C_Emissions&Energy","W9",,,,,,
"C_Emissions&Energy","X9",,,,,,
"C_Emissions&Energy","A10",,,,,,
"C_Emissions&Energy","B10",,,,,,
"C_Emissions&Energy","C10",,,,,,
"C_Emissions&Energy","D10",,,,,,
"C_Emissions&Energy","E10",,,,,,
"C_Emissions&Energy","F10",,,,,,
"C_Emissions&Energy","G10",,,,,,
"C_Emissions&Energy","H10",,,,,,
"C_Emissions&Energy","I10",,,,,,
"C_Emissions&Energy","J10",,,,,,
"C_Emissions&Energy","K10",,,,,,
"C_Emissions&Energy","L10",,,,,,
"C_Emissions&Energy","M10",,,,,,
"C_Emissions&Energy","N10",,,,,,
"C_Emissions&Energy","O10",,,,,,
"C_Emissions&Energy","P10",,,,,,
"C_Emissions&Energy","Q10",,,,,,
"C_Emissions&Energy","R10",,,,,,
"C_Emissions&Energy","S10",,,,,,
"C_Emissions&Energy","T10",,,,,,
"C_Emissions&Energy","U10",,,,,,
"C_Emissions&Energy","V10",,,,,,
"C_Emissions&Energy","W10",,,,,,
"C_Emissions&Energy","X10",,,,,,
"C_Emissions&Energy","A11",,,,,,
"C_Emissions&Energy","B11",,,,,,
"C_Emissions&Energy","C11",,,,,,
"C_Emissions&Energy","D11",,,,,,
"C_Emissions&Energy","E11",,,,,,
"C_Emissions&Energy","F11",,,,,,
"C_Emissions&Energy","G11",,,,,,
"C_Emissions&Energy","H11",,,,,,
"C_Emissions&Energy","I11",,,,,,
"C_Emissions&Energy","J11",,,,,,
"C_Emissions&Energy","K11",,,,,,
"C_Emissions&Energy","L11",,,,,,
"C_Emissions&Energy","M11",,,,,,
"C_Emissions&Energy","N11",,,,,,
"C_Emissions&Energy","O11",,,,,,
"C_Emissions&Energy","P11",,,,,,
"C_Emissions&Energy","Q11",,,,,,
"C_Emissions&Energy","R11",,,,,,
"C_Emissions&Energy","S11",,,,,,
"C_Emissions&Energy","T11",,,,,,
"C_Emissions&Energy","U11",,,,,,
"C_Emissions&Energy","V11",,,,,,
"C_Emissions&Energy","W11",,,,,,
"C_Emissions&Energy","X11",,,,,,
"C_Emissions&Energy","A12",,,,,,
"C_Emissions&Energy","B12",,,,,,
"C_Emissions&Energy","C12",,,,,,
"C_Emissions&Energy","D12",,,,,,
"C_Emissions&Energy","E12",,,,,,
"C_Emissions&Energy","F12",,,,,,
"C_Emissions&Energy","G12",,,,,,
"C_Emissions&Energy","H12",,,,,,
"C_Emissions&Energy","I12",,,,,,
"C_Emissions&Energy","J12",,,,,,
"C_Emissions&Energy","K12",,,,,,
"C_Emissions&Energy","L12",,,,,,
"C_Emissions&Energy","M12",,,,,,
"C_Emissions&Energy","N12",,,,,,
"C_Emissions&Energy","O12",,,,,,
"C_Emissions&Energy","P12",,,,,,
"C_Emissions&Energy","Q12",,,,,,
"C_Emissions&Energy","R12",,,,,,
"C_Emissions&Energy","S12",,,,,,
"C_Emissions&Energy","T12",,,,,,
"C_Emissions&Energy","U12",,,,,,
"C_Emissions&Energy","V12",,,,,,
"C_Emissions&Energy","W12",,,,,,
"C_Emissions&Energy","X12",,,,,,
"C_Emissions&Energy","A13",,,,,,
"C_Emissions&Energy","B13",,,,,,
"C_Emissions&Energy","C13",,,,,,
"C_Emissions&Energy","D13",,,,,,
"C_Emissions&Energy","E13",,,,,,
"C_Emissions&Energy","F13",,,,,,
"C_Emissions&Energy","G13",,,,,,
"C_Emissions&Energy","H13",,,,,,
"C_Emissions&Energy","I13",,,,,,
"C_Emissions&Energy","J13",,,,,,
"C_Emissions&Energy","K13",,,,,,
"C_Emissions&Energy","L13",,,,,,
"C_Emissions&Energy","M13",,,,,,
"C_Emissions&Energy","N13",,,,,,
"C_Emissions&Energy","O13",,,,,,
"C_Emissions&Energy","P13",,,,,,
"C_Emissions&Energy","Q13",,,,,,
"C_Emissions&Energy","R13",,,,,,
"C_Emissions&Energy","S13",,,,,,
"C_Emissions&Energy","T13",,,,,,
"C_Emissions&Energy","U13",,,,,,
"C_Emissions&Energy","V13",,,,,,
"C_Emissions&Energy","W13",,,,,,
"C_Emissions&Energy","X13",,,,,,
"C_Emissions&Energy","A14",,,,,,
"C_Emissions&Energy","B14",,,,,,
"C_Emissions&Energy","C14",,,,,,
"C_Emissions&Energy","D14",,,,,,
"C_Emissions&Energy","E14",,,,,,
"C_Emissions&Energy","F14",,,,,,
"C_Emissions&Energy","G14",,,,,,
"C_Emissions&Energy","H14",,,,,,
"C_Emissions&Energy","I14",,,,,,
"C_Emissions&Energy","J14",,,,,,
"C_Emissions&Energy","K14",,,,,,
"C_Emissions&Energy","L14",,,,,,
"C_Emissions&Energy","M14",,,,,,
"C_Emissions&Energy","N14",,,,,,
"C_Emissions&Energy","O14",,,,,,
"C_Emissions&Energy","P14",,,,,,
"C_Emissions&Energy","Q14",,,,,,
"C_Emissions&Energy","R14",,,,,,
"C_Emissions&Energy","S14",,,,,,
"C_Emissions&Energy","T14",,,,,,
"C_Emissions&Energy","U14",,,,,,
"C_Emissions&Energy","V14",,,,,,
"C_Emissions&Energy","W14",,,,,,
"C_Emissions&Energy","X14",,,,,,
"C_Emissions&Energy","A15",,,,,,
"C_Emissions&Energy","B15",,,,,,
"C_Emissions&Energy","C15",,,,,,
"C_Emissions&Energy","D15",,,,,,
"C_Emissions&Energy","E15",,,,,,
"C_Emissions&Energy","F15",,,,,,
"C_Emissions&Energy","G15",,,,,,
"C_Emissions&Energy","H15",,,,,,
"C_Emissions&Energy","I15",,,,,,
"C_Emissions&Energy","J15",,,,,,
"C_Emissions&Energy","K15",,,,,,
"C_Emissions&Energy","L15",,,,,,
"C_Emissions&Energy","M15",,,,,,
"C_Emissions&Energy","N15",,,,,,
"C_Emissions&Energy","O15",,,,,,
"C_Emissions&Energy","P15",,,,,,
"C_Emissions&Energy","Q15",,,,,,
"C_Emissions&Energy","R15",,,,,,
"C_Emissions&Energy","S15",,,,,,
"C_Emissions&Energy","T15",,,,,,
"C_Emissions&Energy","U15",,,,,,
"C_Emissions&Energy","V15",,,,,,
"C_Emissions&Energy","W15",,,,,,
"C_Emissions&Energy","X15",,,,,,
"C_Emissions&Energy","A16",,,,,,
"C_Emissions&Energy","B16",,,,,,
"C_Emissions&Energy","C16",,,,,,
"C_Emissions&Energy","D16",,,,,,
"C_Emissions&Energy","E16",,,,,,
"C_Emissions&Energy","F16",,,,,,
"C_Emissions&Energy","G16",,,,,,
"C_Emissions&Energy","H16","2","1","7","0","",
"C_Emissions&Energy","I16","2","1","7","0","",
"C_Emissions&Energy","J16","2","1","7","0","",
"C_Emissions&Energy","K16","2","1","7","0","",
"C_Emissions&Energy","L16",,,,,,
"C_Emissions&Energy","M16",,,,,,
"C_Emissions&Energy","N16",,,,,,
"C_Emissions&Energy","O16",,,,,,
"C_Emissions&Energy","P16",,,,,,
"C_Emissions&Energy","Q16",,,,,,
"C_Emissions&Energy","R16",,,,,,
"C_Emissions&Energy","S16",,,,,,
"C_Emissions&Energy","T16",,,,,,
"C_Emissions&Energy","U16",,,,,,
"C_Emissions&Energy","V16",,,,,,
"C_Emissions&Energy","W16",,,,,,
"C_Emissions&Energy","X16",,,,,,
"C_Emissions&Energy","A17",,,,,,
"C_Emissions&Energy","B17",,,,,,
"C_Emissions&Energy","C17",,,,,,
"C_Emissions&Energy","D17",,,,,,
"C_Emissions&Energy","E17",,,,,,
"C_Emissions&Energy","F17",,,,,,
"C_Emissions&Energy","G17",,,,,,
"C_Emissions&Energy","H17",,,,,,
"C_Emissions&Energy","I17",,,,,,
"C_Emissions&Energy","J17",,,,,,
"C_Emissions&Energy","K17",,,,,,
"C_Emissions&Energy","L17",,,,,,
"C_Emissions&Energy","M17",,,,,,
"C_Emissions&Energy","N17",,,,,,
"C_Emissions&Energy","O17",,,,,,
"C_Emissions&Energy","P17",,,,,,
"C_Emissions&Energy","Q17",,,,,,
"C_Emissions&Energy","R17",,,,,,
"C_Emissions&Energy","S17",,,,,,
"C_Emissions&Energy","T17",,,,,,
"C_Emissions&Energy","U17",,,,,,
"C_Emissions&Energy","V17",,,,,,
"C_Emissions&Energy","W17",,,,,,
"C_Emissions&Energy","X17",,,,,,
"C_Emissions&Energy","A18",,,,,,
"C_Emissions&Energy","B18",,,,,,
"C_Emissions&Energy","C18",,,,,,
"C_Emissions&Energy","D18",,,,,,
"C_Emissions&Energy","E18",,,,,,
"C_Emissions&Energy","F18",,,,,,
"C_Emissions&Energy","G18",,,,,,
"C_Emissions&Energy","H18",,,,,,
"C_Emissions&Energy","I18",,,,,,
"C_Emissions&Energy","J18",,,,,,
"C_Emissions&Energy","K18",,,,,,
"C_Emissions&Energy","L18",,,,,,
"C_Emissions&Energy","M18",,,,,,
"C_Emissions&Energy","N18",,,,,,
"C_Emissions&Energy","O18",,,,,,
"C_Emissions&Energy","P18",,,,,,
"C_Emissions&Energy","Q18",,,,,,
"C_Emissions&Energy","R18",,,,,,
"C_Emissions&Energy","S18",,,,,,
"C_Emissions&Energy","T18",,,,,,
"C_Emissions&Energy","U18",,,,,,
"C_Emissions&Energy","V18",,,,,,
"C_Emissions&Energy","W18",,,,,,
"C_Emissions&Energy","X18",,,,,,
"C_Emissions&Energy","A19",,,,,,
"C_Emissions&Energy","B19",,,,,,
"C_Emissions&Energy","C19",,,,,,
"C_Emissions&Energy","D19",,,,,,
"C_Emissions&Energy","E19",,,,,,
"C_Emissions&Energy","F19",,,,,,
"C_Emissions&Energy","G19",,,,,,
"C_Emissions&Energy","H19",,,,,,
"C_Emissions&Energy","I19",,,,,,
"C_Emissions&Energy","J19",,,,,,
"C_Emissions&Energy","K19",,,,,,
"C_Emissions&Energy","L19",,,,,,
"C_Emissions&Energy","M19",,,,,,
"C_Emissions&Energy","N19",,,,,,
"C_Emissions&Energy","O19",,,,,,
"C_Emissions&Energy","P19",,,,,,
"C_Emissions&Energy","Q19",,,,,,
"C_Emissions&Energy","R19",,,,,,
"C_Emissions&Energy","S19",,,,,,
"C_Emissions&Energy","T19",,,,,,
"C_Emissions&Energy","U19",,,,,,
"C_Emissions&Energy","V19",,,,,,
"C_Emissions&Energy","W19",,,,,,
"C_Emissions&Energy","X19",,,,,,
"C_Emissions&Energy","A20",,,,,,
"C_Emissions&Energy","B20",,,,,,
"C_Emissions&Energy","C20",,,,,,
"C_Emissions&Energy","D20",,,,,,
"C_Emissions&Energy","E20",,,,,,
"C_Emissions&Energy","F20",,,,,,
"C_Emissions&Energy","G20",,,,,,
"C_Emissions&Energy","H20",,,,,,
"C_Emissions&Energy","I20",,,,,,
"C_Emissions&Energy","J20",,,,,,
"C_Emissions&Energy","K20",,,,,,
"C_Emissions&Energy","L20",,,,,,
"C_Emissions&Energy","M20",,,,,,
"C_Emissions&Energy","N20",,,,,,
"C_Emissions&Energy","O20",,,,,,
"C_Emissions&Energy","P20",,,,,,
"C_Emissions&Energy","Q20",,,,,,
"C_Emissions&Energy","R20",,,,,,
"C_Emissions&Energy","S20",,,,,,
"C_Emissions&Energy","T20",,,,,,
"C_Emissions&Energy","U20",,,,,,
"C_Emissions&Energy","V20",,,,,,
"C_Emissions&Energy","W20",,,,,,
"C_Emissions&Energy","X20",,,,,,
"C_Emissions&Energy","A21",,,,,,
"C_Emissions&Energy","B21",,,,,,
"C_Emissions&Energy","C21",,,,,,
"C_Emissions&Energy","D21",,,,,,
"C_Emissions&Energy","E21",,,,,,
"C_Emissions&Energy","F21",,,,,,
"C_Emissions&Energy","G21",,,,,,
"C_Emissions&Energy","H21",,,,,,
"C_Emissions&Energy","I21",,,,,,
"C_Emissions&Energy","J21",,,,,,
"C_Emissions&Energy","K21",,,,,,
"C_Emissions&Energy","L21",,,,,,
"C_Emissions&Energy","M21",,,,,,
"C_Emissions&Energy","N21",,,,,,
"C_Emissions&Energy","O21",,,,,,
"C_Emissions&Energy","P21",,,,,,
"C_Emissions&Energy","Q21",,,,,,
"C_Emissions&Energy","R21",,,,,,
"C_Emissions&Energy","S21",,,,,,
"C_Emissions&Energy","T21",,,,,,
"C_Emissions&Energy","U21",,,,,,
"C_Emissions&Energy","V21",,,,,,
"C_Emissions&Energy","W21",,,,,,
"C_Emissions&Energy","X21",,,,,,
"C_Emissions&Energy","A22",,,,,,
"C_Emissions&Energy","B22",,,,,,
"C_Emissions&Energy","C22",,,,,,
"C_Emissions&Energy","D22",,,,,,
"C_Emissions&Energy","E22",,,,,,
"C_Emissions&Energy","F22",,,,,,
"C_Emissions&Energy","G22",,,,,,
"C_Emissions&Energy","H22",,,,,,
"C_Emissions&Energy","I22",,,,,,
"C_Emissions&Energy","J22",,,,,,
"C_Emissions&Energy","K22",,,,,,
"C_Emissions&Energy","L22",,,,,,
"C_Emissions&Energy","M22",,,,,,
"C_Emissions&Energy","N22",,,,,,
"C_Emissions&Energy","O22",,,,,,
"C_Emissions&Energy","P22",,,,,,
"C_Emissions&Energy","Q22",,,,,,
"C_Emissions&Energy","R22",,,,,,
"C_Emissions&Energy","S22",,,,,,
"C_Emissions&Energy","T22",,,,,,
"C_Emissions&Energy","U22",,,,,,
"C_Emissions&Energy","V22",,,,,,
"C_Emissions&Energy","W22",,,,,,
"C_Emissions&Energy","X22",,,,,,
"C_Emissions&Energy","A23",,,,,,
"C_Emissions&Energy","B23",,,,,,
"C_Emissions&Energy","C23",,,,,,
"C_Emissions&Energy","D23",,,,,,
"C_Emissions&Energy","E23",,,,,,
"C_Emissions&Energy","F23",,,,,,
"C_Emissions&Energy","G23",,,,,,
"C_Emissions&Energy","H23",,,,,,
"C_Emissions&Energy","I23",,,,,,
"C_Emissions&Energy","J23",,,,,,
"C_Emissions&Energy","K23",,,,,,
"C_Emissions&Energy","L23",,,,,,
"C_Emissions&Energy","M23",,,,,,
"C_Emissions&Energy","N23",,,,,,
"C_Emissions&Energy","O23",,,,,,
"C_Emissions&Energy","P23",,,,,,
"C_Emissions&Energy","Q23",,,,,,
"C_Emissions&Energy","R23",,,,,,
"C_Emissions&Energy","S23",,,,,,
"C_Emissions&Energy","T23",,,,,,
"C_Emissions&Energy","U23",,,,,,
"C_Emissions&Energy","V23",,,,,,
"C_Emissions&Energy","W23",,,,,,
"C_Emissions&Energy","X23",,,,,,
"C_Emissions&Energy","A24",,,,,,
"C_Emissions&Energy","B24",,,,,,
"C_Emissions&Energy","C24",,,,,,
"C_Emissions&Energy","D24",,,,,,
"C_Emissions&Energy","E24",,,,,,
"C_Emissions&Energy","F24",,,,,,
"C_Emissions&Energy","G24",,,,,,
"C_Emissions&Energy","H24",,,,,,
"C_Emissions&Energy","I24",,,,,,
"C_Emissions&Energy","J24",,,,,,
"C_Emissions&Energy","K24",,,,,,
"C_Emissions&Energy","L24",,,,,,
"C_Emissions&Energy","M24",,,,,,
"C_Emissions&Energy","N24",,,,,,
"C_Emissions&Energy","O24",,,,,,
"C_Emissions&Energy","P24",,,,,,
"C_Emissions&Energy","Q24",,,,,,
"C_Emissions&Energy","R24",,,,,,
"C_Emissions&Energy","S24",,,,,,
"C_Emissions&Energy","T24",,,,,,
"C_Emissions&Energy","U24",,,,,,
"C_Emissions&Energy","V24",,,,,,
"C_Emissions&Energy","W24",,,,,,
"C_Emissions&Energy","X24",,,,,,
"C_Emissions&Energy","A25",,,,,,
"C_Emissions&Energy","B25",,,,,,
"C_Emissions&Energy","C25",,,,,,
"C_Emissions&Energy","D25",,,,,,
"C_Emissions&Energy","E25",,,,,,
"C_Emissions&Energy","F25",,,,,,
"C_Emissions&Energy","G25",,,,,,
"C_Emissions&Energy","H25",,,,,,
"C_Emissions&Energy","I25",,,,,,
"C_Emissions&Energy","J25",,,,,,
"C_Emissions&Energy","K25",,,,,,
"C_Emissions&Energy","L25",,,,,,
"C_Emissions&Energy","M25",,,,,,
"C_Emissions&Energy","N25",,,,,,
"C_Emissions&Energy","O25",,,,,,
"C_Emissions&Energy","P25",,,,,,
"C_Emissions&Energy","Q25",,,,,,
"C_Emissions&Energy","R25",,,,,,
"C_Emissions&Energy","S25",,,,,,
"C_Emissions&Energy","T25",,,,,,
"C_Emissions&Energy","U25",,,,,,
"C_Emissions&Energy","V25",,,,,,
"C_Emissions&Energy","W25",,,,,,
"C_Emissions&Energy","X25",,,,,,
"C_Emissions&Energy","A26",,,,,,
"C_Emissions&Energy","B26",,,,,,
"C_Emissions&Energy","C26",,,,,,
"C_Emissions&Energy","D26",,,,,,
"C_Emissions&Energy","E26",,,,,,
"C_Emissions&Energy","F26",,,,,,
"C_Emissions&Energy","G26",,,,,,
"C_Emissions&Energy","H26","2","1","7","0","",
"C_Emissions&Energy","I26","2","1","7","0","",
"C_Emissions&Energy","J26","2","1","7","0","",
"C_Emissions&Energy","K26","2","1","7","0","",
"C_Emissions&Energy","L26","2","1","7","0","",
"C_Emissions&Energy","M26","2","1","7","0","",
"C_Emissions&Energy","N26",,,,,,
"C_Emissions&Energy","O26",,,,,,
"C_Emissions&Energy","P26",,,,,,
"C_Emissions&Energy","Q26",,,,,,
"C_Emissions&Energy","R26",,,,,,
"C_Emissions&Energy","S26",,,,,,
"C_Emissions&Energy","T26",,,,,,
"C_Emissions&Energy","U26",,,,,,
"C_Emissions&Energy","V26",,,,,,
"C_Emissions&Energy","W26",,,,,,
"C_Emissions&Energy","X26",,,,,,
