"Name","RefersTo","Value","Visible"
"CONST_MonitoringApproach","=Parameters_Constants!$B$56:$D$56","=Parameters_Constants!$B$56:$D$56","True"
"CONST_MsgJumpkNextSheet","=Parameters_Constants!$B$60","=Parameters_Constants!$B$60","True"
"CONST_MsgMissingProdProc","=Parameters_Constants!$B$59","=Parameters_Constants!$B$59","True"
"CONST_MWh","=Parameters_Constants!$B$30","=Parameters_Constants!$B$30","True"
"CONST_NA","=Parameters_Constants!$B$18","=Parameters_Constants!$B$18","True"
"CONST_Nm3ph","=Parameters_Constants!$B$51","=Parameters_Constants!$B$51","True"
"CONST_OnlyDirProd","=Parameters_Constants!$B$62","=Parameters_Constants!$B$62","True"
"CONST_PFCSlopeOrOvervoltage","=Parameters_Constants!$B$57:$C$57","=Parameters_Constants!$B$57:$C$57","True"
"CONST_PleaseSelect","=Parameters_Constants!$B$64","=Parameters_Constants!$B$64","True"
"CONST_PrecursorToGoodInput","=Parameters_Constants!$B$19","=Parameters_Constants!$B$19","True"
"CONST_ProductionProcess","=Parameters_Constants!$B$70","=Parameters_Constants!$B$70","True"
"CONST_PurchPrecDefaultUsed","=Parameters_Constants!$B$61","=Parameters_Constants!$B$61","True"
"CONST_PurchPrecursor","=Parameters_Constants!$B$71","=Parameters_Constants!$B$71","True"
"CONST_RebateType","=Parameters_Constants!$C$46:$G$46","=Parameters_Constants!$C$46:$G$46","True"
"CONST_ReducingAgent","=Parameters_Constants!$B$58:$E$58","=Parameters_Constants!$B$58:$E$58","True"
"CONST_t","=Parameters_Constants!$B$26","=Parameters_Constants!$B$26","True"
"CONST_tC","=Parameters_Constants!$B$37","=Parameters_Constants!$B$37","True"
"CONST_tCO2","=Parameters_Constants!$B$31","=Parameters_Constants!$B$31","True"
"CONST_tCO2eq","=Parameters_Constants!$B$32","=Parameters_Constants!$B$32","True"
"CONST_tCO2pkNm3","=Parameters_Constants!$B$35","=Parameters_Constants!$B$35","True"
"CONST_tCO2pt","=Parameters_Constants!$B$33","=Parameters_Constants!$B$33","True"
"CONST_tCO2pTJ","=Parameters_Constants!$B$34","=Parameters_Constants!$B$34","True"
"CONST_tCO2pTJOrtCO2pt","=Parameters_Constants!$B$47:$D$47","=Parameters_Constants!$B$47:$D$47","True"
"CONST_tCpkNm3","=Parameters_Constants!$B$39","=Parameters_Constants!$B$39","True"
"CONST_tCpt","=Parameters_Constants!$B$38","=Parameters_Constants!$B$38","True"
"CONST_TJ","=Parameters_Constants!$B$24","=Parameters_Constants!$B$24","True"
"CONST_tonnes","=Parameters_Constants!$B$20","=Parameters_Constants!$B$20","True"
"CONST_torkNm3","=Parameters_Constants!$B$23:$C$23","=Parameters_Constants!$B$23:$C$23","True"
"CONST_TransitionalOrDefinitive","=Parameters_Constants!$B$21:$C$21","=Parameters_Constants!$B$21:$C$21","True"
"CONST_TrueFalse","=Parameters_Constants!$B$22:$C$22","=Parameters_Constants!$B$22:$C$22","True"
"CONST_Year","=Parameters_Constants!$B$54","=Parameters_Constants!$B$54","True"
